name,slug,category_id,category,description,phone,whatsapp,address,google_maps_url,logo_url,featured
La Carreta,la-carreta,22222222-2222-2222-2222-222222222222,gastronomia,"Ricos cortes de carne asada o un sabroso desayuno, tu eliges.",6482134213,6482134213,"Rubi 128, Villa Diamante, Camargo, Chih.","https://www.google.com/maps/place/La+Carreta+Restaurant/@27.6741247,-105.1734235,753m/data=!3m2!1e3!5s0x8694af091aceab67:0x10ee656940311344!4m6!3m5!1s0x8694af46fcbc540d:0xf69855e71e2ce301!8m2!3d27.6737796!4d-105.1689684!16s%2Fg%2F11gjt_xwf7?entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D",,true
El Chacal,el-chacal,22222222-2222-2222-2222-222222222222,gastronomia,Especialidad de mariscos que deleitan tu paladar.,6487772345,6487772345,"Av. Lic. Benito Juárez 2011, Camargo, Chih.","https://www.google.com/maps/place/Chacal+Restaurante/@27.6737796,-105.1854479,2531m/data=!3m1!1e3!4m6!3m5!1s0x8694af11b181dbc7:0xa52f7722a97523eb!8m2!3d27.6751937!4d-105.1589279!16s%2Fg%2F11bwh5gg0f?entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D",,true
El Norteńito,el-nortenito,22222222-2222-2222-2222-222222222222,gastronomia,Los mejores cortes de carne asada de la región.,6484622400,6484622400,"Ave Juárez y Río Conchos sn, Camargo, Chih.","https://www.google.com/maps/place/El+Norte%C3%B1ito+Restaurante/@27.6770915,-105.1601431,633m/data=!3m1!1e3!4m6!3m5!1s0x8694afc544fa6ac3:0xe045c5969c5f7454!8m2!3d27.677208!4d-105.1602601!16s%2Fg%2F11cmct2t67?entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D",,true
Nomada Café,nomada-café,22222222-2222-2222-2222-222222222222,gastronomia,"El mejor café de especialidad en Camargo, Chih.",6481112233,6481112233,"C. Allende 105, Centro, Camargo, Chih.","https://www.google.com/maps/place/N%C3%B3mada+-+caf%C3%A9+de+especialidad/@27.6949208,-105.1736841,316m/data=!3m1!1e3!4m14!1m7!3m6!1s0x8694af40a3528479:0xcb410e351bfee46a!2sN%C3%B3mada+-+caf%C3%A9+de+especialidad!8m2!3d27.6949191!4d-105.1727737!16s%2Fg%2F11q_8r5ydg!3m5!1s0x8694af40a3528479:0xcb410e351bfee46a!8m2!3d27.6949191!4d-105.1727737!16s%2Fg%2F11q_8r5ydg?entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D",,true
Green,green,22222222-2222-2222-2222-222222222222,gastronomia,Exquisitos y saludables desayunos en Camargo Chih.,6484620819,6484620819,"Abasolo 3, Centro, Camargo, Chih.","https://www.google.com/maps/place/Green/@27.6941545,-105.1729092,224m/data=!3m2!1e3!5s0x8694aef8ac69f979:0x9a67cebb9c6d1ee0!4m14!1m7!3m6!1s0x8694aef8abb2e013:0xe03402ba60e8c28a!2sGreen!8m2!3d27.6943248!4d-105.1722693!16s%2Fg%2F12hkzfb58!3m5!1s0x8694aef8abb2e013:0xe03402ba60e8c28a!8m2!3d27.6943248!4d-105.1722693!16s%2Fg%2F12hkzfb58?entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D",,true
Valientes,valientes,22222222-2222-2222-2222-222222222222,gastronomia,Rica comida norteńa acompańada de deliciosos cocteles y refrescantes bebidas.,6481216352,6481216352,"Prolongacion, Av. Lic. Benito Juárez 1, Centro, Camargo, Chih.","https://www.google.com/maps/place/Valientes/@27.696903,-105.1801431,633m/data=!3m2!1e3!4b1!4m6!3m5!1s0x8694afcfcb98501d:0xf3add74e0ba6b5ff!8m2!3d27.6968983!4d-105.1775682!16s%2Fg%2F11j2wlqj61?entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D",,true
Los Nogales,los-nogales,11111111-1111-1111-1111-111111111111,turismo,"Confort y descanso en el centro de Camargo, Chih.",6484624500,6484624500,"Av. Lic. Benito Juárez 404, Centro, Camargo, Chih.","google.com/maps/place/Los+Nogales+Inn/@27.6927975,-105.1758444,633m/data=!3m2!1e3!4b1!4m9!3m8!1s0x8694ae55f221cb8b:0xfbf2ea0957e29cb!5m2!4m1!1i2!8m2!3d27.6927928!4d-105.1732695!16s%2Fg%2F1q69jn4cc?entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D",,true
Wim Hotel,wim-hotel,11111111-1111-1111-1111-111111111111,turismo,"Comodidad y relajamiento a un precio asequible en Camargo, Chih.",6481181250,6481181250,"México 45 2001, Río Florido, Camargo, Chih.","https://www.google.com/maps/place/Wim+Hotel/@27.6773331,-105.1618625,753m/data=!3m1!1e3!4m9!3m8!1s0x8694af104a61ecad:0xdc15f561f96bdf2f!5m2!4m1!1i2!8m2!3d27.6757076!4d-105.1590299!16s%2Fg%2F11b8twpd26?entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D",,true
Cabańas Santa Rosalia,cabanas'santa'rosalia,11111111-1111-1111-1111-111111111111,turismo,"Centrico hotel en Camargo, Chih.",6484620214,6484620214,"Benito Juárez y abasolo,  Centro, Camargo, Chih.","https://www.google.com/maps/place/Caba%C3%B1as+Santa+Rosalia+S.a/@27.692264,-105.173552,633m/data=!3m1!1e3!4m9!3m8!1s0x8694af004a902337:0x4d73cea4beaa062b!5m2!4m1!1i2!8m2!3d27.6931837!4d-105.1732055!16s%2Fg%2F11h54z8v42?entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D",,true
Balneario Ojo Caliente,ojo-caliente,11111111-1111-1111-1111-111111111111,turismo,"Balneario con aguas termales, bar, hotel y zona de acampar en Camargo, Chih.",,,"Carretera de La Cruz a Camargo Km 5, Rancho Ojocaliente, Camargo, Chih.","https://www.google.com/maps/place/Ojo+Caliente+Hotel+y+Balneario/@27.6797175,-105.2064429,633m/data=!3m1!1e3!4m9!3m8!1s0x8694afcc24c07971:0x5f7ba685fc36603a!5m2!4m1!1i2!8m2!3d27.6797128!4d-105.203868!16s%2Fg%2F11b7lg6q89?entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D",,true
Hospital Regional Camargo,hospital-regional-camargo,33333333-3333-3333-3333-333333333333,salud,"Hospital general con servicio de urgencias, hospitalizacion, laboratorio, quirofano en Camargo, Chih.",6484622867,6484622867,"Pablo Ghinter Y, Manuel Doblado S/n, Camargo, Chih.","https://www.google.com/maps/place/Hospital+General+Camargo/@27.6807806,-105.167328,633m/data=!3m2!1e3!4b1!4m6!3m5!1s0x8694af0912a3e217:0x83edaefd269f2ab7!8m2!3d27.6807806!4d-105.1647531!16s%2Fg%2F1tfvzl6m?entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D",,true
Clinica Santa Clara,clinica-santa-clara,33333333-3333-3333-3333-333333333333,salud,"Clinica con servicios medicos de calidad en Camargo, Chih.",6484620146,6484620146,"Av. Lic. Benito Juárez 105, Centro, Camargo, Chih.","https://www.google.com/maps/place/Cl%C3%ADnica+Santa+Clara/@27.6860747,-105.1829924,2531m/data=!3m1!1e3!4m10!1m2!2m1!1sclinica+santa+clara+camargo+chih!3m6!1s0x86ea434f15c72d8b:0xa15488d0e0e75a8b!8m2!3d27.6948833!4d-105.1751861!15sCiBjbGluaWNhIHNhbnRhIGNsYXJhIGNhbWFyZ28gY2hpaJIBDm1lZGljYWxfY2xpbmlj4AEA!16s%2Fg%2F1ttphbfd?entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D",,true
Botica Santa Rosalia,botica-santa-rosalia,33333333-3333-3333-3333-333333333333,salud,"Medicamentos de patente en Camargo, Chih.",6484620385,6484620385,"Lerdo de Tejada 504, Centro, Camargo, Chih.","https://www.google.com/maps/place/Botica+Sta+Rosalia/@27.6958694,-109.392117,647915m/data=!3m1!1e3!4m10!1m2!2m1!1sfarmacia+santa+rosalia!3m6!1s0x8694ae5624cfffff:0x152b1b534d2a580e!8m2!3d27.6958694!4d-105.173367!15sChZmYXJtYWNpYSBzYW50YSByb3NhbGlhWhgiFmZhcm1hY2lhIHNhbnRhIHJvc2FsaWGSAQhwaGFybWFjeeABAA!16s%2Fg%2F11g697b14m?entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D",,true
Alsuper Plus Camargo,al-super-camargo,44444444-4444-4444-444444444444,comercio,"Reduce pasos y ahorra pesos comprando en Camargo, Chih.",6144421181,6144421181,Calles Carranza y Centenario,google.com/maps/place/ALSUPER+PLUS+CAMARGO/data=!4m2!3m1!1s0x0:0x5e96142f7f33ac13?sa=X&ved=1t:2428&ictx=111,,true
Dr. Alberto Molina Colmenarez (Pediatra),doctor-molina,33333333-3333-3333-3333-333333333333,salud,"Pediatra con atencion las 24 horas del dia en Camargo, Chih.",,,Lerdo de Tejada 614,"https://www.google.com/maps/place/Lerdo+de+Tejada+614,+Centro,+33700+Santa+Rosal%C3%ADa+de+Camargo,+Chih./@27.6946113,-105.1745556,158m/data=!3m1!1e3!4m6!3m5!1s0x8694ae566e8fed39:0x279e802a52a16ea6!8m2!3d27.6947418!4d-105.1745596!16s%2Fg%2F11j94s4281?entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D",,true
